Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Nicaragua,NIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,310,960,1570,1690,1780,1850,1910,2000,2080,2020,1910,..
Nicaragua,NIC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8190722755.92418,13551689562.5361,24463198980.6977,25699434373.9683,27117096696.4901,29554114307.5316,32052201357.1565,34930273712.1284,37321575970.9361,36795945821.0625,35912875866.6251,..
Nicaragua,NIC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1960,2670,4140,4300,4470,4810,5150,5540,5850,5690,5490,..
Nicaragua,NIC,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,5.1,..,..,..,..,..,..
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.293,69.527,72.692,72.951,73.197,73.429,73.649,73.86,74.068,74.275,..,..
Nicaragua,NIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.596,3.111,2.575,2.55,2.526,2.503,2.48,2.455,2.43,2.404,..,..
Nicaragua,NIC,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,151.7706,118.6528,95.6208,93.944,92.1532,90.3624,88.5716,86.7808,84.99,83.3048,..,..
Nicaragua,NIC,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,80.4,..,..,..,..,..,..,..,..
Nicaragua,NIC,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,88,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,66.5,38.5,22.9,22,21.1,20.3,19.4,18.7,18,17.3,16.6,..
Nicaragua,NIC,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,4.6,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,86,99,99,99,99,99,99,99,99,99,..
Nicaragua,NIC,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,39.15043,65.76514,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"School enrollment, primary (% gross)",SE.PRM.ENRR,86.28695,103.88035,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"School enrollment, secondary (% gross)",SE.SEC.ENRR,36.80746,52.67501,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,1.06801,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,..
Nicaragua,NIC,Forest area (sq. km),AG.LND.FRST.K2,45140,38140,31140,31140,31140,31140,31140,31140,..,..,..,..
Nicaragua,NIC,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,15.4797788522118,15.507104242217,15.507104242217,..,..
Nicaragua,NIC,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,0.989116517285531,..,0.989116517285531,..,..,..,..,..,..
Nicaragua,NIC,Urban population growth (annual %),SP.URB.GROW,2.7169221471207,1.82622988408474,1.69066493043974,1.68014530031262,1.66859024195735,1.65404276794304,1.63948052886928,1.62518719956309,1.63401987666546,1.63714154226712,1.63542151795135,..
Nicaragua,NIC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,483.797755038177,496.44586177742,518.110417362989,549.416918539092,580.485394198455,596.243886882272,..,..,..,..,..,..
Nicaragua,NIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.610663784308078,0.742181467981193,0.827445659769485,0.771706299312364,0.730078776680202,0.761728045155145,0.85675918010554,0.887087256387796,..,..,..,..
Nicaragua,NIC,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,306.222645428201,344.820647891958,528.371911484915,569.324730055498,586.561151639254,568.313810807014,..,..,..,..,..,..
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1009455483.87097,5107329007.0922,9774262741.75783,10531964139.3486,10982979274.1922,11880472593.2147,12756706583.3113,13286048705.496,13785943183.0661,13063873077.8495,12520915291.1837,..
Nicaragua,NIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.0524997208627127,4.10159015455254,6.31752482459839,6.49674729903211,4.92679226883017,4.78581617044347,4.79144081994679,4.5635422115899,4.63138368138509,-3.95091708124258,-3.87850990043628,..
Nicaragua,NIC,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5016.10794964774,8.56622846008226,10.2131382630262,6.24296316345993,4.34989131934842,8.39261207576727,7.58893784659118,4.58921969139814,4.12412265730259,3.59246623097648,4.6677381618245,..
